category	original_path	git_mode	baseline_blob_id	byte_length	sha256	recovery_commit
dashboard-application	docs/chains/rh/dashboard/public/favicon.svg	100644	ca747cb66b233fedec5ff0c84f97bb4631c05dbf	712	e6d2e59b7b5bbb0342e0fb496dfc262decbfe4426bbb7b047aec8d467d1dc6f7	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/public/og.png	100644	3e5e54382bab1c99c9260b61c048f9ed01d4d6ff	920246	682f8f977973e415adcb8aa2ec6ee0c3163d419c04bf6dd04815d92f32c3ba45	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/scripts/sync-status.mjs	100644	48a74a2968304d805c5e23714aefff8c56266f40	25221	eab34e417ab2531b0420d8a6c12faf64271cda8e81461b6d5c488636b907e433	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tests/ci-contract.test.mjs	100644	0b4fdec747134731e16c9bc436668e2ff8544b9a	2586	6f7cbc2a3a2fd6172af6e95c68e1ab701168ba9e3d12e279d75b3abcdf2a4abf	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tests/handoff-docs.test.mjs	100644	209aa67d7f06fc68c5e5ae3e9a3115a20b891c4e	9669	d0036be44c75d89d8fdbe94317d5f575ebc770cb67d2cbec8a42046f9dd3810b	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tests/integration-seal.test.mjs	100644	972a1b1fcee1c7d1c7119d8c19c604c2ffb8431e	2816	05f863a7bfcb9922deeb30857070aee5e2fa49fb7d0d8e30d163976f8ec2799a	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tests/rendered-html.test.mjs	100644	867ff10e6a2963c71f53c67e5a3cac1cdd8f1f79	8858	68de60f5d4c8f2bf1199fee51dc98fbb1244032eec900be7b1f5971a51fccecd	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tests/status-source.test.mjs	100644	42b88b749d0931098309bbe6f89c3eb7275b4680	35642	9345cd8ad957722c412426065f59805dff1670dc93b322aad5a93691eec86744	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/tsconfig.json	100644	3a13f90a773b0facb675bf5b1a8239c8f33d36f5	666	be18523b23b78b6e1a876ddd107d330f0168bddf09d751b57e0b5edce69c66f3	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/vite.config.ts	100644	ae08f93676d3ba1a026104ec8774505bf8d6725e	1697	f7c14b8a38546bb6a7ec93cba22f8e8f131da9fbfe8b39327422ed5bb98d4613	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/worker/index.ts	100644	0d6e50bdaf7c3715edabf03b9a57b3f45bad3d35	1715	9ebef4dae90f9f56379336acd282acbfa6f36ece4f7f6712e038cca1f741d2d8	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-workflow	.github/workflows/rh-handoff-dashboard.yml	100644	b51dede0eeeafc7cb8010dd2267ebe632573e363	1460	2f145560313d8946b4a6b16ac0df5773d16ef5487e91cf32cdfd19b919f2f38b	610b43f4508e85628a1362532a79d68d71ea902c
deployment-tooling	scripts/ccip_send.py	100644	03062eb15729f68b9a99c34c5c72b38b545ea411	16388	4037329e4c65f42832047c9afd7dadf92f7afed1163931cfe74832011e485af0	bb84a178bf17b2b4546ce0a642eaf95dfc6fe945
deployment-tooling	scripts/check_deployment.py	100644	90743ea7e76d441549925709c682340d3215ba18	3997	d4d87e04631b76ac91ae88ed1a2ae910ffb00a6966d02e82edc6ff1424fec199	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/params/validate_robinhood_reward_launch_plan.py	100644	8693f42dcc41a69d236f1c5749aac77b089bec15	20905	723f896ed4a7a953732160784bdd63d8a696b75b818ce464be5a8a6909d8b235	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/__init__.py	100644	4a0b7fedb57aa405cebff8196a15d9405d9f9b15	77	9adf7935cf087dde7072209b71fce5058ca9ed166c5a0552cefe4f7a6f6d8538	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/build_ledger_artifact_bundle.py	100644	dd3941bb55859e4750cbeedfa2360c6e040ec0a6	7741	b996a8d17e0e73809fc1ec0a5bad44fc2ac323f7b4f368e007bb1fd54433dc30	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/ledger-robinhood-profile.json	100644	d13e24e1ce8f17ab05f3d9caf04926f9a447cdbd	1397	fb78187f8cdf0c481859c1f2aec3709e0d3f48a0d69b28b8125d1844b6519fd2	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/ledger_robinhood_profile.py	100644	99373e596c0aefdbebd79f2892266de92ba78ef2	13121	4a5192ffed9a84a0d21129f6ff13ab902125648d4e3c8f61786e214d227a1d70	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/lootbox-deployment-profiles.json	100644	3da1fffa76d5516a0262f473ac2b77e2e78b84e2	2988	a0c2cd623784015c8a553ea480641f828d7498245393e1bc389ddc52ac8e2311	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/proposals/lootbox_deployment_profiles.py	100644	3a4c12dc93175b7624d3a44860d454148b1d1610	13152	b169035e17e1f98c87f05ae755059c3a6310ba87cd20bb94df81f7fa96e468f4	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling	scripts/utils/deployment_assertions.py	100644	32610f16900c3bf28ee1d90498893cf241825fc2	51988	92ae8f15bc2f43fa30a22421abceb549d28102892eb1a0709c4835612cc3d029	bb84a178bf17b2b4546ce0a642eaf95dfc6fe945
deployment-tooling	scripts/utils/manifest_schema.py	100644	d2b336a26d448362cdd6ca527d59be1d8c492f7e	128842	cb0309f37b3066f3a9df15daf25be188d0fc4ef233d3d526fba78f3a567725b5	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment/test_current_manifest_promotion.py	100644	8309b573c6ca1e704f0f8899bf582443fcaac4c7	44511	1e7b4dc8580e60fa3027a995328c1f7e9508e4ccf8c608491ec1934ef96ea8af	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment/test_manifest_schema.py	100644	71869895b9f08b8ac092bdbb21bb4e5099cd76c3	43481	9261207838eef81039be9e7713c8121924e84e7e3bbaa19fff261821ee05b3af	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment/test_post_deployment_assertions.py	100644	3de1e0861b295b10c0102cef678d549754a5706c	12798	64703bbbfc12a3d0b15af5df09b8591326143a9e89b6a32315830c2f8b3fce94	bb84a178bf17b2b4546ce0a642eaf95dfc6fe945
deployment-tooling-test	tests/deployment_profiles/conftest.py	100644	bc2cc04487f424d4ab98bceef3435907432c720d	151	1a608efdd530d0dccc9e802db942c09d4692fe74fcb8a6a90b6f9f5c75ecec2d	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment_profiles/test_ledger_artifact_bundle.py	100644	7562d0987cc742d936d8bbdc5e2c060f4946653f	5671	2bbe851ed20f58cd6421ec66fd0f9368f9b3e97ac4924d559acd2989651cd41f	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment_profiles/test_ledger_robinhood_profile.py	100644	53e4485ab1ed20ef06b84632679f8702727db8e5	7497	271489767776004090eacb76c8ff1b0ca4db44f14f14372bffd8bdd397c67669	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/deployment_profiles/test_lootbox_deployment_profiles.py	100644	87fff264ffbf1d9b173fe8e66aacf59a74adcaa5	7189	52cc997da17c1595f87549b1ed4e68fdf4a945f7757a840cb0e4e0132d6515b4	3c4b06b893d550303e8ff95e2e39e6ec920c411d
deployment-tooling-test	tests/test_ccip_hardening.py	100644	0926cd392c4de742699a0f7352629c942f5a08a2	23500	78d7438bea473ba53f7ecade8ba3a217e7d2afce1f73a4f5d9da7a6233cff1d7	bb84a178bf17b2b4546ce0a642eaf95dfc6fe945
