Record ID	Category	Component	Blueprint/Defaults path	Derived-ledger key	PR #66 path	PR #66 value	Current value	Authority class	Resolution state	Evidence source	Evidence type	Current blocker	Owner	RPC required	Deployment required	Downstream consumer	Recommended action	Notes
P-H04-019	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.numBlocksPerInterval.	Defaults.genDebtConfig.numBlocksPerInterval	P-H04-019	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.numBlocksPerInterval	7200	7200	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-020	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.minDynamicRateBoost.	Defaults.genDebtConfig.minDynamicRateBoost	P-H04-020	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.minDynamicRateBoost	10000	10000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-021	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.maxDynamicRateBoost.	Defaults.genDebtConfig.maxDynamicRateBoost	P-H04-021	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.maxDynamicRateBoost	50000	50000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-022	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.increasePerDangerBlock.	Defaults.genDebtConfig.increasePerDangerBlock	P-H04-022	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.increasePerDangerBlock	60	60	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-023	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.maxBorrowRate.	Defaults.genDebtConfig.maxBorrowRate	P-H04-023	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.maxBorrowRate	10000	10000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-024	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.maxLtvDeviation.	Defaults.genDebtConfig.maxLtvDeviation	P-H04-024	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.maxLtvDeviation	1000	1000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-025	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.keeperFeeRatio.	Defaults.genDebtConfig.keeperFeeRatio	P-H04-025	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.keeperFeeRatio	100	100	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-026	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.minKeeperFee.	Defaults.genDebtConfig.minKeeperFee	P-H04-026	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.minKeeperFee	"""1000000000000000000"""	1000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-027	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.maxKeeperFee.	Defaults.genDebtConfig.maxKeeperFee	P-H04-027	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.maxKeeperFee	"""25000000000000000000000"""	25000000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-028	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.isDaowryEnabled.	Defaults.genDebtConfig.isDaowryEnabled	P-H04-028	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.isDaowryEnabled	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-029	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.ltvPaybackBuffer.	Defaults.genDebtConfig.ltvPaybackBuffer	P-H04-029	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.ltvPaybackBuffer	1000	1000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-030	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.genAuctionParams.hasParams.	Defaults.genDebtConfig.genAuctionParams.hasParams	P-H04-030	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.genAuctionParams.hasParams	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-031	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.genAuctionParams.startDiscount.	Defaults.genDebtConfig.genAuctionParams.startDiscount	P-H04-031	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.genAuctionParams.startDiscount	100	100	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-032	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.genAuctionParams.maxDiscount.	Defaults.genDebtConfig.genAuctionParams.maxDiscount	P-H04-032	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.genAuctionParams.maxDiscount	5000	5000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-033	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.genAuctionParams.delay.	Defaults.genDebtConfig.genAuctionParams.delay	P-H04-033	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.genAuctionParams.delay	0	0	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-034	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.genAuctionParams.duration.	Defaults.genDebtConfig.genAuctionParams.duration	P-H04-034	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.genAuctionParams.duration	7200	7200	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-035	PR #66 selected input	Canonical Robinhood value for Defaults.ripeAvailForRewards.	Defaults.ripeAvailForRewards	P-H04-035	contracts/config/DefaultsRobinHood.vy::Defaults.ripeAvailForRewards	"""1000000000000000000000"""	1000000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-036	PR #66 selected input	Canonical Robinhood value for Defaults.ripeAvailForHr.	Defaults.ripeAvailForHr	P-H04-036	contracts/config/DefaultsRobinHood.vy::Defaults.ripeAvailForHr	"""1000000000000000000000"""	1000000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-037	PR #66 selected input	Canonical Robinhood value for Defaults.ripeAvailForBonds.	Defaults.ripeAvailForBonds	P-H04-037	contracts/config/DefaultsRobinHood.vy::Defaults.ripeAvailForBonds	"""1000000000000000000000"""	1000000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-038	PR #66 selected input	Canonical Robinhood value for Defaults.ripeBondConfig.asset.	Defaults.ripeBondConfig.asset	P-H04-038	contracts/config/DefaultsRobinHood.vy::Defaults.ripeBondConfig.asset	"""0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168"""	"""0x5fc5360D0400a0Fd4f2af552ADD042D716F1d168"""	owner-selected external fact; independent acceptance pending	selected_external_fact_unverified	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	address:USDG:unverified	D-H04-22	yes	no	Independent external-fact verification; DefaultsRobinhood source and derived-ledger synchronization	Verify through the consolidated immutable-pin packet	status=external_fact; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-039	PR #66 selected input	Canonical Robinhood value for Defaults.ripeBondConfig.amountPerEpoch.	Defaults.ripeBondConfig.amountPerEpoch	P-H04-039	contracts/config/DefaultsRobinHood.vy::Defaults.ripeBondConfig.amountPerEpoch	2000000000	2000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
